Genus,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Anaeroplasma,0,0,0,0,0,0,0.012195122,0,0,0,0.012195122,0.012195122,0,0.012195122,0.024390244,0,0.012195122,0,0.012195122,0,0,0.012195122,0.06097561,0.024390244,0.012195122,0.024390244,0.024390244,0.048780488,0,0.012195122,0.012195122,0.024390244,0,0,0.012195122,0,0,0.012195122,0.024390244,0,0.048780488,0.085365854,0.024390244,0.024390244,0.012195122,0.036585366,0.012195122,0.036585366,0.048780488,0.024390244,0,0,0.048780488,0.024390244,0.012195122,0,0.024390244,0.134146341
Streptomyces,0.001212388,0.004445424,0.002865645,0.004959771,0.002939123,0.008486719,0.002571733,0.001212388,3.67E-05,0.002902384,0.003269775,0.001359345,0.005327161,0.013630185,0.013703663,0.017414306,0.011352364,0.010250193,0.012087145,0.012234101,0.010691061,0.018847129,0.079980896,0.019030824,0.069032661,0.003784121,0.039200558,0.068812227,0.00499651,0.001506301,0.002608472,0.004445424,0.000844998,0.01304236,0.004041295,0.003306514,0.004114773,0.033212094,0.035526654,0.001653257,0.035894045,0.05220618,0.021161689,0.003233036,0.013960836,0.025166244,0.011793233,0.024982549,0.044454242,0.030052537,0.004959771,0.018332782,0.046695323,0.028913627,0.009772585,0.008964326,0.010433888,0.058084426
Streptoalloteichus,0,0.004149378,0.006224066,0.002074689,0.002074689,0.012448133,0.002074689,0,0,0.008298755,0.004149378,0.002074689,0.006224066,0.014522822,0.012448133,0.010373444,0.018672199,0.006224066,0.012448133,0.010373444,0.010373444,0.033195021,0.06846473,0.022821577,0.062240664,0.008298755,0.029045643,0.056016598,0.008298755,0.002074689,0.004149378,0,0,0.012448133,0.004149378,0,0.004149378,0.022821577,0.037344398,0.004149378,0.033195021,0.047717842,0.031120332,0.002074689,0.010373444,0.024896266,0.010373444,0.031120332,0.03526971,0.020746888,0.006224066,0.018672199,0.056016598,0.03526971,0.01659751,0.004149378,0.010373444,0.080912863
Actinomadura,0.002155172,0.003232759,0.002155172,0.003232759,0.001077586,0.014008621,0.002155172,0.002155172,0.001077586,0.001077586,0.004310345,0,0.00862069,0.014008621,0.009698276,0.016163793,0.004310345,0.011853448,0.012931034,0.016163793,0.017241379,0.025862069,0.057112069,0.024784483,0.074353448,0.005387931,0.033405172,0.07112069,0.004310345,0.003232759,0.004310345,0.003232759,0,0.007543103,0.003232759,0.002155172,0.003232759,0.030172414,0.030172414,0.001077586,0.034482759,0.057112069,0.019396552,0.006465517,0.006465517,0.021551724,0.016163793,0.03125,0.048491379,0.019396552,0.00862069,0.019396552,0.047413793,0.037715517,0.004310345,0.003232759,0.010775862,0.075431034
Microtetraspora,0.001876173,0.001876173,0.005628518,0,0.003752345,0.00750469,0,0.003752345,0,0.00750469,0.003752345,0,0.005628518,0.013133208,0.013133208,0.018761726,0.00750469,0.003752345,0.013133208,0.003752345,0.00750469,0.024390244,0.071294559,0.022514071,0.084427767,0.00750469,0.033771107,0.069418386,0.003752345,0.003752345,0.005628518,0.001876173,0.001876173,0.016885553,0.005628518,0.005628518,0.003752345,0.037523452,0.020637899,0,0.024390244,0.041275797,0.026266417,0.001876173,0.003752345,0.013133208,0.016885553,0.033771107,0.054409006,0.018761726,0.001876173,0.024390244,0.056285178,0.04315197,0.00750469,0.003752345,0.015009381,0.071294559
Planomonospora,0.006153846,0,0,0.003076923,0,0.009230769,0,0.009230769,0,0,0.006153846,0,0.003076923,0.003076923,0.009230769,0.003076923,0.015384615,0.012307692,0.018461538,0.012307692,0.015384615,0.018461538,0.046153846,0.027692308,0.064615385,0.006153846,0.033846154,0.08,0.006153846,0,0.003076923,0,0,0.024615385,0.003076923,0.009230769,0.006153846,0.018461538,0.024615385,0.006153846,0.030769231,0.067692308,0.030769231,0,0.015384615,0.027692308,0.006153846,0.024615385,0.055384615,0.027692308,0.006153846,0.015384615,0.04,0.036923077,0.006153846,0.009230769,0.009230769,0.086153846
Streptosporangium,0,0,0.006134969,0.012269939,0,0.006134969,0.006134969,0.006134969,0,0,0.006134969,0,0.006134969,0.018404908,0.006134969,0.012269939,0,0.006134969,0.006134969,0.018404908,0.006134969,0.018404908,0.030674847,0.012269939,0.079754601,0,0.024539877,0.073619632,0.012269939,0,0.006134969,0,0.006134969,0.012269939,0,0.012269939,0,0.012269939,0.036809816,0.006134969,0.055214724,0.067484663,0.018404908,0,0,0.036809816,0.018404908,0.024539877,0.049079755,0.012269939,0.006134969,0.024539877,0.049079755,0.036809816,0.012269939,0.006134969,0.018404908,0.098159509
Microbispora,0,0,0,0,0.005847953,0,0,0,0,0,0,0,0,0,0.011695906,0.011695906,0.01754386,0.011695906,0.01754386,0.01754386,0.029239766,0.011695906,0.087719298,0.029239766,0.087719298,0.011695906,0.005847953,0.058479532,0.011695906,0,0.011695906,0,0.005847953,0.01754386,0,0,0.005847953,0.023391813,0.01754386,0.005847953,0.035087719,0.01754386,0.01754386,0.005847953,0,0.023391813,0.01754386,0.029239766,0.058479532,0.011695906,0,0.01754386,0.081871345,0.029239766,0.011695906,0.011695906,0.023391813,0.093567251
Thermomonospora,0,0.006116208,0.003058104,0,0,0.006116208,0.003058104,0,0,0,0.003058104,0,0.009174312,0.021406728,0.01529052,0.018348624,0,0.009174312,0.012232416,0.021406728,0.009174312,0.024464832,0.073394495,0.027522936,0.094801223,0.003058104,0.04587156,0.042813456,0.003058104,0.003058104,0,0.009174312,0.003058104,0.01529052,0,0.003058104,0.006116208,0.012232416,0.024464832,0.009174312,0.027522936,0.04587156,0.018348624,0.012232416,0,0.018348624,0.01529052,0.021406728,0.051987768,0.018348624,0.003058104,0.012232416,0.039755352,0.033639144,0.018348624,0.009174312,0.006116208,0.110091743
Thermoactinomyces,0,0.009090909,0,0.009090909,0,0,0,0,0,0,0,0,0.009090909,0.018181818,0.018181818,0,0.027272727,0,0.018181818,0.018181818,0.018181818,0.018181818,0.036363636,0.027272727,0.081818182,0.018181818,0.027272727,0.018181818,0,0,0.009090909,0.018181818,0,0.027272727,0.009090909,0,0.009090909,0.027272727,0.009090909,0.009090909,0.018181818,0.054545455,0.018181818,0.018181818,0.009090909,0.009090909,0.027272727,0.036363636,0.063636364,0.036363636,0,0.009090909,0.036363636,0.027272727,0.009090909,0.018181818,0.018181818,0.1
Aeromicrobium,0,0,0,0,0,0.009174312,0,0,0,0,0.009174312,0,0,0.04587156,0.009174312,0.027522936,0,0,0,0.018348624,0,0.04587156,0.082568807,0.018348624,0.082568807,0,0.036697248,0.055045872,0.018348624,0.009174312,0,0.009174312,0,0.036697248,0.009174312,0,0.009174312,0.018348624,0.009174312,0,0.009174312,0.04587156,0.009174312,0.009174312,0,0.027522936,0.018348624,0.027522936,0.036697248,0.018348624,0,0,0.055045872,0.018348624,0,0.009174312,0.036697248,0.119266055
Pimelobacter,0,0,0,0,0.007874016,0,0,0,0.007874016,0,0,0,0.007874016,0.015748031,0.015748031,0,0,0.023622047,0.015748031,0.015748031,0.007874016,0.039370079,0.039370079,0.015748031,0.11023622,0.015748031,0.039370079,0.031496063,0.015748031,0,0,0,0,0.031496063,0,0.007874016,0,0.023622047,0.023622047,0.007874016,0.05511811,0.05511811,0.023622047,0,0.007874016,0.039370079,0.023622047,0.015748031,0.047244094,0,0,0,0.039370079,0.05511811,0.023622047,0.007874016,0.007874016,0.078740157
Rothia,0,0.009009009,0,0,0,0.018018018,0,0.009009009,0,0,0.009009009,0,0.009009009,0.009009009,0,0.009009009,0.018018018,0.009009009,0.036036036,0.018018018,0.018018018,0.036036036,0.054054054,0.018018018,0.027027027,0.009009009,0.018018018,0.045045045,0,0,0,0.009009009,0,0,0,0.009009009,0,0.027027027,0.045045045,0,0.09009009,0.018018018,0.009009009,0.009009009,0.009009009,0.036036036,0.009009009,0.027027027,0.045045045,0.018018018,0.018018018,0.027027027,0.045045045,0.027027027,0.009009009,0,0,0.135135135
Mobiluncus,0.004132231,0.004132231,0,0,0.004132231,0.008264463,0,0.004132231,0,0.004132231,0,0.012396694,0.012396694,0.016528926,0,0.008264463,0.016528926,0.008264463,0.016528926,0.008264463,0.020661157,0.016528926,0.066115702,0.02892562,0.037190083,0,0.033057851,0.049586777,0.02892562,0.008264463,0,0,0.004132231,0.012396694,0.008264463,0,0.004132231,0.02892562,0.024793388,0.012396694,0.02892562,0.053719008,0.024793388,0.020661157,0.024793388,0.02892562,0.008264463,0.016528926,0.045454545,0.016528926,0.024793388,0.012396694,0.041322314,0.020661157,0.012396694,0.012396694,0.008264463,0.08677686
Sphaerobacter,0,0,0.008928571,0,0,0,0,0,0,0,0.008928571,0,0.008928571,0,0.008928571,0.008928571,0.008928571,0.017857143,0.008928571,0.008928571,0.017857143,0.026785714,0.044642857,0.017857143,0.089285714,0,0.044642857,0.071428571,0,0.017857143,0,0.017857143,0.008928571,0.008928571,0,0.008928571,0,0.017857143,0,0.008928571,0.026785714,0.071428571,0.008928571,0,0,0.026785714,0.026785714,0.035714286,0.026785714,0.026785714,0,0.017857143,0.053571429,0.017857143,0.044642857,0,0.017857143,0.107142857
Sporolactobacillus,0,0,0.005076142,0,0,0,0,0,0,0,0,0,0.015228426,0.010152284,0,0.015228426,0.010152284,0.015228426,0.025380711,0.015228426,0.005076142,0.020304569,0.060913706,0.030456853,0.060913706,0.010152284,0.010152284,0.055837563,0.010152284,0,0,0.005076142,0,0.015228426,0.010152284,0.005076142,0,0.020304569,0.035532995,0.005076142,0.030456853,0.065989848,0.035532995,0.005076142,0.020304569,0.015228426,0.030456853,0.005076142,0.030456853,0.015228426,0.010152284,0.010152284,0.050761421,0.060913706,0.010152284,0.025380711,0.010152284,0.096446701
Mycoplasma,0,0.002105263,0.006315789,0.002105263,0,0.004210526,0,0,0.002105263,0.002105263,0.002105263,0,0.010526316,0.010526316,0.012631579,0.016842105,0.023157895,0.008421053,0.010526316,0.010526316,0.010526316,0.023157895,0.029473684,0.016842105,0.067368421,0.012631579,0.029473684,0.042105263,0.002105263,0,0.002105263,0.004210526,0,0.014736842,0.008421053,0.008421053,0.006315789,0.027368421,0.021052632,0.008421053,0.023157895,0.054736842,0.021052632,0.006315789,0.018947368,0.023157895,0.025263158,0.014736842,0.029473684,0.031578947,0.016842105,0.027368421,0.033684211,0.031578947,0.018947368,0.016842105,0.025263158,0.122105263

