Genus,OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Halothiobacillus,927,0.025974026,0.006493506,0,0,0.032467532,0.012987013,0.025974026,0.064935065,0.019480519,0.006493506,0.006493506,0.032467532,0.032467532,0.071428571,0.032467532,0.006493506,0.032467532,0,0,0,0,0,0.038961039,0.006493506,0.019480519,0.058441558,0.025974026,0.045454545,0,0,0,0.006493506,0,0.012987013,0,0,0,0.006493506,0.025974026,0,0.019480519,0.11038961,0,0.019480519,0.025974026,0.032467532,0.006493506,0.006493506,0.019480519,0.032467532,0,0.006493506,0.019480519,0.025974026,0,0,0.006493506,0.012987013
Bdellovibrio,959,0.028368794,0.014184397,0.007092199,0.021276596,0.031914894,0,0.024822695,0.039007092,0.014184397,0.024822695,0.007092199,0.031914894,0.031914894,0.035460993,0.039007092,0,0.024822695,0,0.010638298,0.003546099,0.014184397,0.003546099,0.039007092,0,0.007092199,0.053191489,0.017730496,0.024822695,0,0,0,0.007092199,0.007092199,0.014184397,0,0,0.003546099,0.017730496,0.039007092,0,0.003546099,0.113475177,0.003546099,0.031914894,0.031914894,0.035460993,0.010638298,0.010638298,0.007092199,0.046099291,0.003546099,0,0.021276596,0,0.007092199,0.003546099,0.007092199,0.024822695
Herbaspirillum,964,0.023489933,0.013422819,0.013422819,0.013422819,0.013422819,0.020134228,0.016778523,0.026845638,0.003355705,0.030201342,0.030201342,0.030201342,0.040268456,0.033557047,0.030201342,0.010067114,0.030201342,0,0.003355705,0.003355705,0,0.010067114,0.013422819,0.013422819,0.010067114,0.040268456,0.013422819,0.043624161,0,0.003355705,0.006711409,0.006711409,0,0.030201342,0.006711409,0.003355705,0,0.006711409,0.040268456,0,0.006711409,0.10738255,0.006711409,0.033557047,0.033557047,0.040268456,0.010067114,0.003355705,0.020134228,0.05704698,0,0.003355705,0.006711409,0.016778523,0.003355705,0.003355705,0,0.013422819
Sporohalobacter,973,0.026315789,0.013157895,0.003289474,0.026315789,0.032894737,0.009868421,0.016447368,0.029605263,0.009868421,0.019736842,0.023026316,0.016447368,0.029605263,0.055921053,0.042763158,0.019736842,0.023026316,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.026315789,0.009868421,0.016447368,0.039473684,0.023026316,0.032894737,0,0,0,0.006578947,0.003289474,0.023026316,0.003289474,0.006578947,0,0.009868421,0.029605263,0.003289474,0.009868421,0.118421053,0.009868421,0.019736842,0.042763158,0.039473684,0.009868421,0.013157895,0.013157895,0.019736842,0,0.003289474,0.019736842,0.006578947,0.009868421,0,0,0.016447368
Cellulophaga,979,0.024539877,0.006134969,0.030674847,0.024539877,0.018404908,0.030674847,0.024539877,0.024539877,0.006134969,0.018404908,0.042944785,0.006134969,0.055214724,0.036809816,0.030674847,0.018404908,0.024539877,0,0.006134969,0,0.024539877,0.006134969,0.049079755,0,0.036809816,0.024539877,0.024539877,0.018404908,0,0,0,0,0,0.036809816,0,0,0,0.018404908,0.024539877,0,0,0.098159509,0.006134969,0.030674847,0.030674847,0.030674847,0,0,0.018404908,0.024539877,0,0.012269939,0.024539877,0.012269939,0.006134969,0.006134969,0,0.006134969
Pedobacter,984,0.024691358,0,0.018518519,0.018518519,0.037037037,0.00617284,0.018518519,0.024691358,0.018518519,0.024691358,0.012345679,0.043209877,0.055555556,0.024691358,0.018518519,0.00617284,0.030864198,0,0,0,0.00617284,0,0.030864198,0.00617284,0.037037037,0.055555556,0.012345679,0.024691358,0.00617284,0,0,0,0,0.037037037,0,0,0.00617284,0.00617284,0.018518519,0.00617284,0.018518519,0.12345679,0.012345679,0.043209877,0.018518519,0.043209877,0,0.012345679,0.012345679,0.043209877,0,0,0.018518519,0,0,0,0,0.018518519
Flavobacterium,986,0.034539474,0.003289474,0.014802632,0.021381579,0.021381579,0.011513158,0.018092105,0.021381579,0.019736842,0.023026316,0.023026316,0.032894737,0.041118421,0.036184211,0.034539474,0.023026316,0.034539474,0.006578947,0.003289474,0.006578947,0.001644737,0.004934211,0.041118421,0.001644737,0.013157895,0.049342105,0.026315789,0.03125,0.004934211,0.003289474,0.003289474,0.001644737,0,0.021381579,0,0,0.001644737,0.009868421,0.027960526,0,0.014802632,0.106907895,0.001644737,0.023026316,0.036184211,0.046052632,0.004934211,0.006578947,0.006578947,0.032894737,0.001644737,0.008223684,0.008223684,0.008223684,0.001644737,0.004934211,0.004934211,0.008223684
Aquimarina,987,0.025477707,0.012738854,0.031847134,0.006369427,0.01910828,0.01910828,0.01910828,0.031847134,0.038216561,0.031847134,0.012738854,0.012738854,0.063694268,0.031847134,0.01910828,0.01910828,0.044585987,0,0.025477707,0,0,0,0.01910828,0,0,0.044585987,0,0.044585987,0,0,0,0,0,0.025477707,0,0,0,0.01910828,0.012738854,0,0.006369427,0.076433121,0.006369427,0.044585987,0.050955414,0.057324841,0,0.012738854,0.012738854,0.01910828,0.006369427,0.012738854,0.01910828,0.012738854,0,0.006369427,0.012738854,0.012738854
Leeuwenhoekiella,988,0.011560694,0.011560694,0.005780347,0.011560694,0.01734104,0.005780347,0,0.01734104,0.005780347,0.023121387,0.01734104,0.028901734,0.040462428,0.005780347,0.034682081,0.028901734,0.028901734,0,0,0.01734104,0.011560694,0.005780347,0.098265896,0,0.023121387,0.046242775,0.023121387,0.01734104,0,0,0,0.005780347,0,0.040462428,0,0.011560694,0.005780347,0.011560694,0.023121387,0,0.01734104,0.121387283,0.005780347,0.023121387,0.046242775,0.01734104,0.011560694,0.005780347,0.01734104,0.028901734,0,0.005780347,0.028901734,0.011560694,0,0,0.005780347,0.01734104
Marinilabilia,989,0.024691358,0.018518519,0.030864198,0.018518519,0.012345679,0.012345679,0.043209877,0.024691358,0,0.018518519,0.018518519,0.030864198,0.043209877,0.037037037,0.012345679,0.018518519,0.055555556,0,0,0.00617284,0.012345679,0,0.018518519,0.00617284,0.024691358,0.049382716,0.012345679,0.024691358,0.00617284,0,0,0,0,0.012345679,0,0.018518519,0,0.012345679,0.067901235,0,0.00617284,0.098765432,0,0.00617284,0.024691358,0.024691358,0.012345679,0.00617284,0.024691358,0.030864198,0.012345679,0.012345679,0.012345679,0.00617284,0.012345679,0,0,0.018518519
Flexibacter,992,0.014256619,0.00610998,0.022403259,0.010183299,0.020366599,0.00610998,0.014256619,0.024439919,0.016293279,0.012219959,0.018329939,0.024439919,0.052953157,0.061099796,0.038696538,0.00610998,0.030549898,0,0.00407332,0.00407332,0.00203666,0.00203666,0.024439919,0.00610998,0.022403259,0.028513238,0.034623218,0.046843177,0.00203666,0,0.00407332,0.010183299,0.00407332,0.024439919,0,0,0.00203666,0.018329939,0.034623218,0,0.022403259,0.105906314,0.00203666,0.032586558,0.042769857,0.040733198,0.012219959,0.010183299,0.010183299,0.020366599,0,0.00814664,0.014256619,0.00814664,0.00203666,0.00203666,0.00203666,0.010183299
Solitalea,995,0.033557047,0.013422819,0.006711409,0.040268456,0.020134228,0.006711409,0.013422819,0.026845638,0.020134228,0.013422819,0.026845638,0.020134228,0.046979866,0.060402685,0.006711409,0,0.020134228,0,0.006711409,0.006711409,0.013422819,0.006711409,0.020134228,0,0.013422819,0.073825503,0,0.053691275,0,0,0,0.013422819,0,0,0.006711409,0,0.006711409,0.006711409,0.033557047,0,0.013422819,0.127516779,0,0.020134228,0.033557047,0.046979866,0.006711409,0,0.013422819,0.033557047,0,0,0.013422819,0.006711409,0,0.006711409,0.013422819,0.026845638
Bernardetia,999,0.040268456,0.006711409,0.020134228,0.006711409,0.026845638,0.006711409,0.020134228,0.026845638,0.013422819,0.060402685,0.006711409,0.033557047,0.046979866,0.040268456,0.026845638,0.013422819,0.033557047,0,0,0,0.006711409,0,0.026845638,0.006711409,0.013422819,0.033557047,0.006711409,0.020134228,0,0,0,0,0.006711409,0.006711409,0,0,0,0.006711409,0.040268456,0,0.033557047,0.100671141,0.006711409,0.026845638,0.040268456,0.053691275,0.020134228,0,0.006711409,0.040268456,0,0,0.026845638,0.020134228,0,0,0.006711409,0.013422819
Garritya,1001,0.007246377,0.02173913,0.014492754,0.02173913,0.036231884,0.02173913,0.007246377,0.028985507,0.028985507,0.014492754,0.007246377,0.02173913,0.036231884,0.057971014,0.02173913,0.014492754,0.02173913,0,0,0.007246377,0.007246377,0.007246377,0.043478261,0,0.028985507,0.043478261,0.036231884,0.036231884,0.007246377,0,0,0,0,0.028985507,0,0,0,0.007246377,0.028985507,0,0.02173913,0.101449275,0,0.028985507,0.028985507,0.02173913,0,0.007246377,0.007246377,0.043478261,0,0.014492754,0.043478261,0.014492754,0,0,0,0
Hugenholtzia,1002,0.04,0.006666667,0.033333333,0.026666667,0.026666667,0.006666667,0.006666667,0.026666667,0.006666667,0.006666667,0.013333333,0.013333333,0.046666667,0.046666667,0.093333333,0.026666667,0.026666667,0,0,0,0,0.006666667,0.006666667,0.006666667,0.006666667,0.04,0.02,0.033333333,0,0,0,0.006666667,0.006666667,0.013333333,0,0,0.006666667,0.06,0.033333333,0,0.006666667,0.066666667,0,0.013333333,0.053333333,0.046666667,0,0,0.006666667,0.046666667,0,0.006666667,0.013333333,0.006666667,0.006666667,0,0,0.026666667
Chitinophaga,1004,0.035714286,0,0.017857143,0.011904762,0.041666667,0.005952381,0.017857143,0.023809524,0.011904762,0.035714286,0.011904762,0.023809524,0.053571429,0.023809524,0.011904762,0.017857143,0.023809524,0,0,0.011904762,0.005952381,0.005952381,0.011904762,0.005952381,0.029761905,0.071428571,0.011904762,0.041666667,0,0.005952381,0.005952381,0,0,0.035714286,0,0,0,0.005952381,0.023809524,0,0.017857143,0.119047619,0.005952381,0.06547619,0.017857143,0.041666667,0.005952381,0.011904762,0,0.023809524,0,0.005952381,0.011904762,0,0.005952381,0,0.005952381,0.017857143
